round,selected_turn_id,max_entropy,min_slot_acc,select_turn_per_round_time
0,WOZ20644-2,2358.627197265625,0,60665.47081017494
0,MUL1279-6,2725.713623046875,0,60665.47081017494
0,MUL1041-5,2668.258544921875,0,60665.47081017494
0,SNG01327-1,2764.380126953125,0,60665.47081017494
0,MUL0585-6,2812.051513671875,0,60665.47081017494
0,PMUL2099-6,2419.2158203125,0,60665.47081017494
0,PMUL4415-7,2719.5869140625,0,60665.47081017494
0,PMUL0970-3,2809.7744140625,0,60665.47081017494
0,MUL1597-2,2913.36669921875,0,60665.47081017494
0,PMUL3572-7,2828.726318359375,0,60665.47081017494
0,PMUL0023-7,2863.87255859375,0,60665.47081017494
0,PMUL1999-5,2823.45361328125,0,60665.47081017494
0,PMUL4039-7,2676.541015625,0,60665.47081017494
0,MUL0291-4,2866.701171875,0,60665.47081017494
0,MUL1459-14,2916.85888671875,0,60665.47081017494
0,PMUL1815-3,2829.2685546875,0,60665.47081017494
0,WOZ20466-3,2802.727783203125,0,60665.47081017494
0,SSNG0287-4,2823.00732421875,0,60665.47081017494
0,SSNG0013-3,2870.461181640625,0,60665.47081017494
0,SNG01275-3,2478.4375,0,60665.47081017494
0,PMUL3383-6,2837.166748046875,0,60665.47081017494
0,WOZ20025-2,2776.54345703125,0,60665.47081017494
0,MUL1911-3,2901.44970703125,0,60665.47081017494
0,SSNG0392-4,2619.872802734375,0,60665.47081017494
0,MUL0996-5,2893.393310546875,0,60665.47081017494
0,PMUL2273-5,2873.159423828125,0,60665.47081017494
0,PMUL3193-3,2184.5654296875,0,60665.47081017494
0,PMUL4523-3,2829.1875,0,60665.47081017494
0,PMUL4990-5,2794.9228515625,0,60665.47081017494
0,PMUL4538-5,2802.838623046875,0,60665.47081017494
0,MUL1124-5,2782.677978515625,0,60665.47081017494
0,MUL1674-4,2852.60693359375,0,60665.47081017494
0,SSNG0108-3,2879.21923828125,0,60665.47081017494
0,PMUL3416-7,2799.590576171875,0,60665.47081017494
0,WOZ20401-2,2293.264892578125,0,60665.47081017494
0,MUL2659-9,2829.196044921875,0,60665.47081017494
0,SNG1082-4,2170.91552734375,0,60665.47081017494
0,PMUL2791-5,2903.05419921875,0,60665.47081017494
0,SNG0958-5,2780.6982421875,0,60665.47081017494
0,MUL0769-6,2901.672607421875,0,60665.47081017494
0,PMUL0146-9,2800.414794921875,0,60665.47081017494
0,PMUL3718-2,2214.491943359375,0,60665.47081017494
0,WOZ20543-1,2755.119384765625,0,60665.47081017494
0,WOZ20125-4,2717.912109375,0,60665.47081017494
0,PMUL3189-11,2879.4365234375,0,60665.47081017494
0,MUL0733-3,2769.56689453125,0,60665.47081017494
0,WOZ20377-2,2834.53857421875,0,60665.47081017494
0,PMUL3790-4,2861.36572265625,0,60665.47081017494
