round,selected_turn_id,max_entropy,min_confidence,select_turn_per_round_time
0,MUL2584-3,2595.714111328125,0,73395.242030859
0,WOZ20101-2,2598.5732421875,0,73395.242030859
0,MUL1036-6,2631.0595703125,0,73395.242030859
0,PMUL2579-6,2612.244140625,0,73395.242030859
0,MUL1083-3,2571.58544921875,0,73395.242030859
0,SNG01914-1,2511.22314453125,0,73395.242030859
0,PMUL3022-4,2549.073974609375,0,73395.242030859
0,SSNG0111-3,2514.90771484375,0,73395.242030859
0,PMUL0106-3,2589.279541015625,0,73395.242030859
0,PMUL3589-13,2600.9384765625,0,73395.242030859
0,PMUL3387-2,2593.8701171875,0,73395.242030859
0,PMUL1386-6,2625.1552734375,0,73395.242030859
0,SNG1220-3,2591.040283203125,0,73395.242030859
0,PMUL0197-6,2576.856201171875,0,73395.242030859
0,WOZ20215-3,2575.20654296875,0,73395.242030859
0,MUL2090-4,2583.114013671875,0,73395.242030859
0,WOZ20445-5,2586.006591796875,0,73395.242030859
0,PMUL3361-7,2497.2978515625,0,73395.242030859
0,PMUL1003-7,2575.42919921875,0,73395.242030859
0,MUL2073-7,2616.286376953125,0,73395.242030859
0,PMUL2523-5,2639.6474609375,0,73395.242030859
0,SNG02243-6,2598.845703125,0,73395.242030859
0,PMUL1131-10,2588.93798828125,0,73395.242030859
0,PMUL1906-6,2641.587646484375,0,73395.242030859
0,MUL2093-5,2643.10009765625,0,73395.242030859
0,PMUL3108-6,2583.124755859375,0,73395.242030859
0,MUL0611-4,2584.391357421875,0,73395.242030859
0,MUL0002-5,2608.281005859375,0,73395.242030859
0,WOZ20478-1,2458.357666015625,0,73395.242030859
0,PMUL4810-4,2552.062255859375,0,73395.242030859
0,SNG1359-2,2634.3828125,0,73395.242030859
0,PMUL2467-6,2610.093505859375,0,73395.242030859
0,PMUL2196-4,2582.895751953125,0,73395.242030859
0,PMUL3302-7,2606.949462890625,0,73395.242030859
0,SNG0265-2,2569.289306640625,0,73395.242030859
0,MUL1563-6,2602.079833984375,0,73395.242030859
0,MUL2598-4,2633.08544921875,0,73395.242030859
0,MUL0324-5,2622.90478515625,0,73395.242030859
0,PMUL0158-5,2641.6533203125,0,73395.242030859
0,PMUL1045-4,2597.95166015625,0,73395.242030859
0,PMUL3792-7,2585.76123046875,0,73395.242030859
0,PMUL4144-6,2592.71337890625,0,73395.242030859
0,PMUL0293-2,2609.157470703125,0,73395.242030859
0,PMUL4370-6,2663.04736328125,0,73395.242030859
0,SSNG0265-3,2559.69580078125,0,73395.242030859
0,PMUL3153-5,2646.77099609375,0,73395.242030859
0,MUL2161-4,2569.7890625,0,73395.242030859
0,SSNG0042-4,2602.031982421875,0,73395.242030859
0,PMUL0714-3,2619.42578125,0,73395.242030859
0,MUL0926-0,2346.12451171875,0,73395.242030859
0,MUL0245-2,2733.548828125,0,73395.242030859
0,SNG0341-4,2582.2421875,0,73395.242030859
0,SNG1378-3,2601.83642578125,0,73395.242030859
0,PMUL3724-3,2483.878173828125,0,73395.242030859
0,PMUL0777-1,2589.734619140625,0,73395.242030859
0,PMUL1806-9,2638.607666015625,0,73395.242030859
0,SSNG0145-4,2633.776123046875,0,73395.242030859
0,PMUL2946-7,2590.00927734375,0,73395.242030859
0,PMUL1963-5,2652.3896484375,0,73395.242030859
0,PMUL2028-3,2589.44482421875,0,73395.242030859
0,PMUL3951-4,2626.573486328125,0,73395.242030859
0,PMUL0967-2,2593.553466796875,0,73395.242030859
0,PMUL4732-6,2631.57080078125,0,73395.242030859
0,WOZ20373-3,2536.013916015625,0,73395.242030859
0,PMUL1313-1,2558.563232421875,0,73395.242030859
0,MUL0820-5,2558.74462890625,0,73395.242030859
0,SNG0773-3,2654.461669921875,0,73395.242030859
0,SNG02053-5,2592.66650390625,0,73395.242030859
0,PMUL1695-5,2633.359375,0,73395.242030859
0,PMUL2439-5,2525.0107421875,0,73395.242030859
0,SNG1342-5,2642.24365234375,0,73395.242030859
0,PMUL0691-7,2554.950927734375,0,73395.242030859
0,MUL0211-6,2557.542236328125,0,73395.242030859
0,MUL1525-6,2587.0791015625,0,73395.242030859
0,MUL2369-5,2573.22314453125,0,73395.242030859
0,PMUL3624-1,2496.516357421875,0,73395.242030859
0,PMUL2002-5,2568.508056640625,0,73395.242030859
0,MUL0782-5,2563.814208984375,0,73395.242030859
0,WOZ20148-1,2544.24072265625,0,73395.242030859
0,MUL1902-6,2650.1962890625,0,73395.242030859
0,PMUL1483-7,2619.041748046875,0,73395.242030859
0,PMUL1912-5,2584.29248046875,0,73395.242030859
0,WOZ20286-3,2614.40234375,0,73395.242030859
0,SSNG0337-4,2543.90966796875,0,73395.242030859
0,PMUL3822-4,2631.895751953125,0,73395.242030859
