round,selected_turn_id,max_entropy,select_turn_per_round_time
0,PMUL4618-0,2429.07251,59273.79911
0,SNG0356-1,2447.824219,59273.79911
0,PMUL4139-2,2566.998779,59273.79911
0,PMUL1189-1,2429.428467,59273.79911
0,MUL0217-3,2402.425537,59273.79911
0,SNG0307-2,2579.412354,59273.79911
0,PMUL0242-4,2511.77417,59273.79911
0,SSNG0189-1,2386.258301,59273.79911
0,PMUL4408-0,2496.712402,59273.79911
0,PMUL3041-2,2529.633789,59273.79911
0,PMUL0528-3,2379.682373,59273.79911
0,MUL0576-2,2469.074951,59273.79911
0,SNG02283-2,2399.151855,59273.79911
0,PMUL4472-2,2494.701416,59273.79911
0,PMUL4767-2,2440.751953,59273.79911
0,PMUL4065-2,2528.023926,59273.79911
0,SSNG0299-0,2458.693604,59273.79911
0,SNG0764-1,2465.998779,59273.79911
0,SNG01985-3,2436.879395,59273.79911
0,PMUL2408-10,2425.049072,59273.79911
0,PMUL2423-1,2440.056152,59273.79911
0,PMUL4548-4,2423.320557,59273.79911
0,WOZ20099-0,2450.67627,59273.79911
0,PMUL2957-4,2470.335449,59273.79911
0,MUL0561-1,2600.5979,59273.79911
0,MUL2412-3,2554.856201,59273.79911
0,PMUL1020-3,2549.574219,59273.79911
0,PMUL3550-1,2603.314697,59273.79911
0,MUL0381-1,2461.179199,59273.79911
0,PMUL3057-1,2497.964844,59273.79911
0,MUL0027-0,2548.212891,59273.79911
0,PMUL3368-2,2452.903076,59273.79911
0,PMUL0926-0,2504.299805,59273.79911
0,PMUL1832-1,2444.968262,59273.79911
0,PMUL1576-7,2441.222168,59273.79911
0,WOZ20416-1,2460.193115,59273.79911
0,SNG1329-1,2476.15625,59273.79911
0,WOZ20204-4,2410.766113,59273.79911
0,MUL0285-4,2408.884521,59273.79911
0,PMUL2208-2,2506.475586,59273.79911
0,PMUL3653-10,2494.187012,59273.79911
0,PMUL2315-1,2617.832031,59273.79911
0,PMUL2443-2,2653.779297,59273.79911
0,SSNG0306-0,2466.093994,59273.79911
0,MUL2667-2,2515.816895,59273.79911
0,PMUL0547-1,2604.037598,59273.79911
0,PMUL4783-2,2457.825684,59273.79911
0,PMUL3958-1,2582.87793,59273.79911
0,PMUL1827-2,2441.712158,59273.79911
0,MUL1436-0,2562.927246,59273.79911
0,PMUL1870-1,2522.789063,59273.79911
0,PMUL3823-1,2604.804688,59273.79911
0,MUL0491-0,2431.742676,59273.79911
0,MUL2458-1,2585.184326,59273.79911
0,PMUL4987-6,2400.500488,59273.79911
0,PMUL3997-1,2401.082275,59273.79911
0,PMUL0146-1,2559.878418,59273.79911
0,MUL0351-1,2487.918701,59273.79911
0,WOZ20599-0,2467.1875,59273.79911
0,MUL0832-1,2496.256592,59273.79911
0,PMUL0980-0,2469.570557,59273.79911
0,PMUL0811-1,2473.45166,59273.79911
0,PMUL0150-1,2480.70459,59273.79911
0,SNG01471-0,2383.41748,59273.79911
0,MUL0193-1,2611.620605,59273.79911
0,SNG02015-1,2439.038574,59273.79911
0,PMUL0661-1,2567.414063,59273.79911
0,MUL1792-3,2436.35498,59273.79911
0,PMUL4097-2,2470.126221,59273.79911
0,MUL0058-3,2443.673584,59273.79911
0,MUL0150-1,2560.200928,59273.79911
0,WOZ20628-1,2571.694092,59273.79911
0,PMUL2399-1,2425.821289,59273.79911
0,PMUL0241-3,2478.978271,59273.79911
0,PMUL1372-0,2539.353027,59273.79911
0,PMUL1151-1,2412.932861,59273.79911
0,PMUL1035-0,2423.49707,59273.79911
0,SNG0915-0,2484.907715,59273.79911
0,PMUL3622-2,2506.560791,59273.79911
0,PMUL4706-2,2392.34375,59273.79911
0,SNG1355-1,2421.165771,59273.79911
0,PMUL2417-0,2407.618408,59273.79911
0,MUL1686-1,2486.527832,59273.79911
0,SNG0512-1,2474.866455,59273.79911
0,PMUL4653-0,2500.876953,59273.79911
0,SNG0022-0,2406.427734,59273.79911
0,MUL2592-0,2411.256104,59273.79911
0,PMUL1757-3,2501.294922,59273.79911
0,PMUL2626-0,2479.640381,59273.79911
0,PMUL0977-0,2550.987793,59273.79911
0,MUL0066-2,2485.520264,59273.79911
0,PMUL0960-2,2411.124512,59273.79911
0,MUL0952-1,2527.065186,59273.79911
0,PMUL1824-0,2536.837646,59273.79911
