round,selected_turn_id,max_entropy,min_confidence
0,MUL0569-6,0,383.1323547363281
0,PMUL0565-6,0,730.25927734375
0,PMUL0888-5,0,446.96258544921875
0,SNG0332-7,0,221.74496459960938
0,PMUL4047-7,0,546.8272094726562
0,MUL0646-6,0,391.5771179199219
0,PMUL0867-3,0,385.9667053222656
0,PMUL4576-7,0,792.1776123046875
0,PMUL2818-5,0,249.4792938232422
0,PMUL0799-5,0,374.71441650390625
0,PMUL1871-7,0,582.3673706054688
0,SNG1335-1,0,251.8278045654297
0,WOZ20435-0,0,182.7641143798828
0,SSNG0278-4,0,498.091064453125
0,MUL2132-6,0,342.7433166503906
0,PMUL2217-2,0,170.1526336669922
0,WOZ20064-0,0,174.34512329101562
0,SSNG0292-4,0,305.5245666503906
0,MUL1224-7,0,352.5367736816406
0,PMUL0651-2,0,287.625732421875
0,SNG0302-3,0,259.6862487792969
0,SNG0639-4,0,216.8075408935547
0,SSNG0215-4,0,357.8328857421875
0,PMUL2305-8,0,385.1375732421875
0,MUL2669-8,0,529.3743286132812
0,MUL1440-8,0,591.3522338867188
0,SNG0791-3,0,292.3345947265625
0,PMUL3651-7,0,218.93223571777344
0,SNG0857-3,0,366.849365234375
0,SNG0985-3,0,440.55206298828125
0,PMUL2290-3,0,204.99110412597656
0,SSNG0358-4,0,397.2029724121094
0,PMUL2507-6,0,535.6822509765625
0,SNG0419-3,0,221.87783813476562
0,PMUL1549-8,0,656.922119140625
0,SNG1112-1,0,269.7781982421875
0,SNG0361-3,0,288.4263610839844
0,PMUL1733-9,0,524.6234130859375
0,SNG01311-4,0,240.5202178955078
0,WOZ20661-3,0,178.2288818359375
0,PMUL4278-7,0,415.1156311035156
0,PMUL1726-5,0,472.9988708496094
0,MUL1826-5,0,518.0897827148438
0,MUL1398-7,0,575.3768310546875
0,PMUL0305-3,0,581.2373046875
0,WOZ20443-0,0,212.67222595214844
0,PMUL0879-6,0,487.4306640625
0,PMUL3741-2,0,118.68923950195312
0,PMUL3151-1,0,228.1871337890625
0,PMUL1084-5,0,283.2174377441406
0,SSNG0280-5,0,502.96746826171875
0,PMUL0099-6,0,649.951416015625
0,PMUL3682-4,0,595.5555419921875
0,MUL1994-5,0,374.4188537597656
0,PMUL4888-7,0,666.5311889648438
0,WOZ20310-0,0,178.38699340820312
0,SNG0976-4,0,326.76556396484375
0,MUL1980-5,0,544.239990234375
0,SSNG0068-5,0,378.84051513671875
0,SNG1255-3,0,246.23231506347656
0,MUL1532-6,0,577.7009887695312
0,MUL0252-9,0,514.5952758789062
0,PMUL2501-5,0,414.13232421875
0,PMUL3144-7,0,393.272216796875
0,PMUL4043-7,0,506.0559997558594
0,MUL2668-5,0,265.68975830078125
0,PMUL0538-6,0,639.336181640625
0,MUL1215-5,0,413.984375
0,PMUL0900-5,0,472.36004638671875
0,SNG1116-0,0,191.59710693359375
0,PMUL3724-3,0,481.7731628417969
0,SSNG0206-3,0,369.2566223144531
0,PMUL2145-5,0,474.2044982910156
0,WOZ20201-4,0,163.73193359375
0,PMUL0918-6,0,646.396728515625
0,PMUL1246-7,0,440.7026062011719
0,PMUL0390-7,0,520.7213745117188
0,WOZ20041-0,0,215.29885864257812
0,PMUL4692-7,0,310.5472412109375
0,MUL1237-2,0,240.29959106445312
0,SNG0957-0,0,188.78851318359375
0,PMUL3763-6,0,453.7257385253906
0,SNG02010-1,0,271.09228515625
0,MUL1032-1,0,153.82455444335938
0,SNG1118-3,0,121.62554168701172
0,MUL0482-6,0,767.297607421875
0,PMUL4098-10,0,351.5462951660156
0,MUL2450-7,0,377.3988037109375
0,PMUL2467-5,0,319.2777099609375
0,PMUL0192-1,0,266.5486755371094
0,SNG0865-4,0,484.69537353515625
0,MUL1957-4,0,389.4337158203125
0,WOZ20239-3,0,162.8307647705078
0,PMUL3099-4,0,414.9322204589844
0,WOZ20429-3,0,217.8357696533203
0,PMUL0639-5,0,536.4383544921875
0,WOZ20166-5,0,182.21286010742188
0,PMUL1112-5,0,416.65130615234375
0,PMUL0769-6,0,474.5263671875
0,WOZ20236-5,0,229.4093017578125
0,MUL1610-4,0,655.6931762695312
0,PMUL0401-8,0,446.38262939453125
0,PMUL4854-5,0,278.2661437988281
0,SNG1381-2,0,272.3497314453125
0,SNG1274-2,0,295.74237060546875
0,PMUL2732-6,0,550.9536743164062
0,MUL1788-5,0,308.6976623535156
0,WOZ20129-2,0,225.713134765625
0,MUL0758-9,0,441.14666748046875
0,PMUL0161-5,0,593.18408203125
0,MUL0050-7,0,488.7917175292969
0,MUL1614-10,0,543.60693359375
0,MUL1197-3,0,453.72613525390625
0,PMUL3116-1,0,221.80477905273438
0,PMUL2060-7,0,353.808837890625
0,PMUL1576-7,0,513.9759521484375
0,MUL1782-6,0,417.5429992675781
0,SNG0776-2,0,307.2633972167969
0,MUL0289-7,0,547.0039672851562
0,WOZ20659-0,0,209.30465698242188
0,MUL1516-4,0,334.3941955566406
0,PMUL1970-6,0,456.81915283203125
0,SNG02000-2,0,248.8084259033203
0,PMUL4127-4,0,415.70904541015625
0,MUL0940-4,0,554.6359252929688
0,MUL1682-5,0,535.469970703125
0,WOZ20622-2,0,172.1002655029297
0,SNG1331-5,0,164.28378295898438
0,PMUL2094-7,0,516.9989013671875
0,PMUL1955-9,0,616.5280151367188
0,MUL0805-7,0,531.437744140625
0,WOZ20447-1,0,247.8017578125
0,SSNG0035-3,0,351.05023193359375
0,PMUL1120-4,0,399.9770812988281
0,SNG0924-4,0,228.60714721679688
0,PMUL0341-4,0,346.7466125488281
0,MUL1424-4,0,519.7840576171875
0,PMUL1928-7,0,685.5245361328125
0,PMUL3491-5,0,388.3038330078125
0,SNG1132-3,0,222.0258331298828
0,PMUL4985-9,0,377.309326171875
0,SNG0287-7,0,252.13345336914062
0,PMUL1736-2,0,367.3110656738281
0,PMUL4962-7,0,305.8593444824219
0,PMUL1938-7,0,621.377197265625
0,PMUL1388-5,0,352.7553405761719
0,MUL1545-6,0,574.2529907226562
0,MUL1852-3,0,443.58184814453125
0,MUL0963-6,0,351.1598815917969
0,SNG01478-2,0,285.4465637207031
0,SNG01339-5,0,300.3319396972656
0,PMUL1863-6,0,376.4368896484375
0,WOZ20270-1,0,178.762451171875
0,PMUL2867-8,0,621.8280029296875
0,PMUL0526-4,0,329.84210205078125
0,SNG0998-4,0,236.7335662841797
0,PMUL0652-6,0,572.2242431640625
0,MUL0616-8,0,635.1914672851562
0,PMUL4312-7,0,364.7567138671875
0,MUL1007-8,0,435.98809814453125
0,SNG01356-2,0,223.94056701660156
0,MUL0504-5,0,575.5604248046875
0,MUL1205-5,0,344.38336181640625
0,MUL2295-3,0,336.627685546875
0,PMUL3254-3,0,271.521484375
0,MUL2142-8,0,477.6793518066406
0,PMUL4475-8,0,658.6690063476562
0,SNG0556-5,0,212.975341796875
0,WOZ20658-0,0,189.88714599609375
0,MUL2088-7,0,568.1184692382812
0,SNG0959-3,0,374.7470703125
0,PMUL4684-7,0,449.12518310546875
0,PMUL0236-4,0,329.25860595703125
0,MUL2577-5,0,447.14984130859375
0,MUL0665-7,0,445.623291015625
0,PMUL4257-4,0,511.4549255371094
0,PMUL0541-3,0,196.91574096679688
0,SNG0707-3,0,308.56512451171875
0,WOZ20400-0,0,168.28646850585938
0,SSNG0372-4,0,415.8526306152344
0,PMUL0070-0,0,197.22463989257812
0,MUL0221-7,0,418.4088134765625
0,PMUL1124-4,0,324.4680480957031
0,PMUL1643-6,0,519.6959228515625
0,SNG0901-5,0,415.1261291503906
0,MUL2624-7,0,552.1975708007812
0,MUL0718-7,0,541.6890869140625
0,PMUL2750-7,0,565.4238891601562
0,PMUL2233-5,0,364.92327880859375
0,PMUL4370-6,0,324.7227783203125
0,PMUL3611-9,0,668.2982788085938
0,MUL1364-7,0,509.12890625
0,PMUL3227-7,0,848.7227783203125
0,SNG0275-3,0,242.5961456298828
0,WOZ20364-1,0,125.56484985351562
0,PMUL0534-5,0,663.1788940429688
0,SNG0088-3,0,298.110107421875
0,PMUL3134-4,0,200.2527618408203
0,SNG1102-2,0,236.38755798339844
0,MUL1402-5,0,558.608154296875
0,SSNG0369-3,0,468.9554748535156
0,SNG1133-2,0,185.15093994140625
0,PMUL4671-6,0,627.36669921875
0,PMUL4371-4,0,295.4906311035156
0,PMUL1044-7,0,613.713134765625
0,MUL0925-1,0,229.72705078125
0,PMUL4736-5,0,371.0121154785156
0,MUL0356-6,0,288.1807861328125
0,WOZ20390-0,0,181.6734619140625
0,PMUL4755-6,0,353.1409606933594
0,PMUL1336-8,0,492.0617980957031
0,PMUL0403-7,0,675.1018676757812
0,MUL1509-5,0,506.60809326171875
0,PMUL0166-11,0,655.8430786132812
0,MUL0617-5,0,715.3153076171875
0,MUL2237-5,0,553.3309326171875
0,MUL2546-6,0,756.1817016601562
0,PMUL0453-15,0,273.5201416015625
0,PMUL3828-9,0,778.807373046875
0,PMUL2871-7,0,782.6941528320312
0,MUL0853-5,0,185.13572692871094
0,MUL2464-4,0,395.012451171875
0,MUL2484-7,0,611.4347534179688
0,WOZ20112-2,0,183.46194458007812
0,SSNG0098-5,0,446.8379821777344
0,SNG0575-3,0,221.37843322753906
0,SNG1189-1,0,217.8561248779297
0,PMUL4942-6,0,196.41395568847656
0,PMUL0460-13,0,582.746826171875
0,PMUL0707-3,0,214.01319885253906
0,SNG1057-0,0,146.71617126464844
0,PMUL3306-7,0,486.99383544921875
0,MUL0886-4,0,338.69384765625
0,MUL2084-5,0,436.19256591796875
0,PMUL1695-10,0,604.4321899414062
0,SNG01190-2,0,284.9047546386719
0,PMUL4698-5,0,338.4664001464844
0,WOZ20024-0,0,182.96441650390625
0,PMUL0208-4,0,352.8785705566406
0,SNG0560-1,0,215.65663146972656
0,PMUL0897-8,0,747.839599609375
0,PMUL4293-4,0,397.34979248046875
0,PMUL3912-7,0,411.735595703125
0,PMUL4652-10,0,480.5338134765625
0,SNG02277-5,0,373.4812316894531
0,WOZ20047-1,0,238.2222900390625
0,MUL0589-10,0,479.2601318359375
0,MUL0557-6,0,433.4937438964844
0,MUL1436-6,0,698.5140380859375
0,MUL0092-6,0,424.9132995605469
0,MUL1521-4,0,546.9979248046875
0,WOZ20205-0,0,177.01690673828125
0,SNG0969-3,0,418.6220703125
0,PMUL4857-4,0,435.0328063964844
0,PMUL4271-8,0,491.93768310546875
0,PMUL2569-1,0,216.1346893310547
0,PMUL1401-0,0,192.47894287109375
0,SNG01743-1,0,343.829833984375
0,MUL0966-10,0,898.409912109375
0,PMUL3949-4,0,484.3599548339844
0,PMUL4761-6,0,360.33160400390625
0,PMUL3972-4,0,328.76983642578125
0,SSNG0209-6,0,420.32867431640625
0,PMUL0547-5,0,674.5408325195312
0,MUL1931-6,0,497.3891906738281
0,PMUL2838-7,0,741.5087890625
0,PMUL0779-5,0,458.4294738769531
0,PMUL2176-5,0,282.3203125
0,SNG0559-4,0,317.924072265625
0,MUL1523-5,0,360.5640563964844
0,MUL1520-4,0,584.6475830078125
0,PMUL0189-10,0,771.8555297851562
0,PMUL3211-5,0,265.4695739746094
0,SNG1235-3,0,267.6226501464844
0,PMUL3827-4,0,378.46258544921875
0,SNG1087-4,0,111.86866760253906
0,SSNG0268-3,0,532.3295288085938
0,MUL2235-8,0,605.8256225585938
0,MUL1116-3,0,460.23748779296875
0,PMUL1135-5,0,291.5917053222656
